time,open,high,low,close,EMA,EMA,EMA,EMA,EMA,Volume,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Open Interest (열기),Open Interest (고가,Open Interest (저가),Open Interest (닫기),SMA,CVD
1781814600,63090,63150.9,63017.8,63109.9,63990.38566950439,64410.74584458504,63409.068552727585,62967.37190996599,63028.8179288392,1130.47,51.993325099690026,,,,,,,,,,,,,,-609007.9493452241
1781815500,63110,63112.7,63012.8,63063.1,63975.05863364481,64397.336433196135,63396.712532987316,62976.48887092161,63040.2452858928,635.431,50.337990202433446,,,,,,,,,,,,,,-609269.2500742503
1781816400,63063.1,63098.7,62877.2,62895.1,63957.208077716794,64382.38880699518,63378.79779966634,62968.73754988146,62991.863523928536,1018.842,44.821387737509255,,,,,,,,,,,,,,-609602.6975909882
1781817300,62895.1,63022,62831.8,62931,63940.24596072974,64367.94712732358,63362.805021106826,62965.143497511795,62971.575682619026,899.356,46.178761208952366,,,,,,,,,,,,,,-609818.7352489893
1781818200,62931,62960.5,62835.9,62889.3,63922.87495311438,64353.23422058405,63345.89412749587,62957.92030727258,62944.150455079354,746.546,44.800172986332115,,,,,,,,,,,,,,-610085.2975109902
1781819100,62889.3,62973.1,62858.1,62936,63906.56297041827,64339.13238754341,63331.25505151387,62955.832658960906,62941.43363671957,580.017,46.71854943625187,,,,,,,,,,,,,,-610271.2331766101
1781820000,62936,62962.1,62878,62892.7,63889.80490479153,64324.7400254783,63315.59237110266,62949.820024774155,62925.18909114638,601.375,45.15170468057108,,,,,,,,,,,,,,-610496.7344931233
1781820900,62892.7,62900.6,62739.2,62807.4,63871.91391462968,64309.64211477702,63297.442643563285,62936.256212890905,62885.92606076425,1434.025,42.15250213727704,,,,,,,,,,,,,,-610837.3333033018
1781821800,62807.3,62826.3,62710.5,62785.5,63853.95665984241,64294.47652159516,63279.15897772174,62921.898478329866,62852.45070717617,683.517,41.3922967617249,,,,,,,,,,,,,,-611210.5909887016
1781822700,62785.4,62868.1,62749.5,62853,63837.4119216632,64280.133471629044,63263.93901423168,62915.33671848893,62852.63380478411,385.274,44.702519824427995,,,,,,,,,,,,,,-611511.6075612061
1781823600,62852.9,62903.5,62717,62729,63819.091063453896,64264.69930773224,63244.83404943769,62897.590364347125,62811.42253652274,791.369,40.20954195485279,40.20954195485279,,40.20954195485279,,,,,,,,,,,-611859.3243649006
1781824500,62729.1,62850.1,62723.6,62849.9,63803.07137645466,64250.621702680175,63230.72926195777,62893.04842488549,62824.24835768183,526.618,45.91711436259009,,,,,,,,,,,,,,-612123.7711872909
1781825400,62849.9,62920,62847.2,62883.1,63787.865238000864,64237.01452155898,63218.313931173565,62892.10095584878,62843.86557178789,494.192,47.40197419560391,,,,,,,,,,,,,,-612315.966693263
1781826300,62883,62959.9,62823.5,62924.1,63773.58812662895,64223.95069547382,63207.80629077451,62895.14848386318,62870.610381191924,715.426,49.254867659946754,,,,,,,,,,,,,,-612421.7220558093
1781827200,62924,62959.2,62812.7,62838.6,63758.13377742847,64210.16611143925,63194.62035181828,62889.76291397145,62859.94025412795,655.619,45.6438453452704,,,,,,,,,,,,,,-612579.8453838273
1781828100,62838.6,62974.6,62820,62939.4,63744.600987718906,64197.521672519455,63185.505339253345,62894.49025549798,62886.4268360853,486.625,50.27251914317589,,,,,,,,,,,,,,-612676.564109177
1781829000,62939.5,63035.4,62927.5,63035.3,63732.87700445083,64185.957277768015,63180.14086285144,62907.900707355315,62936.05122405687,816.35,54.262941275053656,,,,,54.262941275053656,,54.262941275053656,,,,,,,-612686.3239083028
1781829900,63035.4,63066.7,62944,62991.7,63720.62614487313,64174.0741207753,63173.41083203532,62915.88159236909,62954.60081603791,487.593,52.211581681031355,,,,,,,,,,,,,,-612741.5916313215
1781830800,62991.7,63059.9,62863.8,62940,63707.72323338762,64161.79477628998,63165.0747308912,62918.17858357204,62949.73387735861,679.007,49.8071159151979,,,,,,,,,,,,,,-612856.2630950051
1781831700,62940,63073,62890.1,62898.5,63694.34764275312,64149.22467901346,63155.55420478794,62916.30443275565,62932.65591823907,601.159,47.9002009770211,,,,,,,,,,,,,,-613017.2667050045
1781832600,62898.5,62929.3,62814.3,62884.1,63680.95511973241,64136.63637374964,63145.859411759804,62913.23734392178,62916.47061215938,699.677,47.22457388977861,47.22457388977861,,47.22457388977861,,,,,,,,,,,-613229.572542623
